GCF_000412775.1.fasta	saureus	45	arcC(10)	aroE(14)	glpF(8)	gmk(6)	pta(10)	tpi(3)	yqiL(2)
GCF_000418345.1.fasta	saureus	239	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000452385.2.fasta	saureus	49	arcC(14)	aroE(16)	glpF(11)	gmk(2)	pta(13)	tpi(12)	yqiL(14)
GCF_000462955.1.fasta	saureus	50	arcC(16)	aroE(16)	glpF(12)	gmk(2)	pta(13)	tpi(13)	yqiL(15)
GCF_000463055.1.fasta	saureus	72	arcC(1)	aroE(4)	glpF(1)	gmk(8)	pta(4)	tpi(4)	yqiL(3)
GCF_000470845.1.fasta	saureus	59	arcC(19)	aroE(23)	glpF(15)	gmk(2)	pta(19)	tpi(20)	yqiL(15)
GCF_000470865.1.fasta	saureus	59	arcC(19)	aroE(23)	glpF(15)	gmk(2)	pta(19)	tpi(20)	yqiL(15)
GCF_000485885.1.fasta	saureus	239	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000568455.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000597965.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_000626615.1.fasta	saureus	250	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(16)
GCF_000695215.1.fasta	saureus	22	arcC(7)	aroE(6)	glpF(1)	gmk(5)	pta(8)	tpi(8)	yqiL(6)
GCF_000695875.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000737615.1.fasta	saureus	59	arcC(19)	aroE(23)	glpF(15)	gmk(2)	pta(19)	tpi(20)	yqiL(15)
GCF_000746505.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000756205.1.fasta	saureus	243	arcC(2)	aroE(2)	glpF(5)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
GCF_000769575.1.fasta	saureus	239	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000772025.1.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
GCF_000815045.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000815085.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000815125.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000815165.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000815205.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000815245.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000828035.1.fasta	saureus	772	arcC(1)	aroE(1)	glpF(1)	gmk(1)	pta(22)	tpi(1)	yqiL(1)
GCF_000953255.1.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
GCF_000967325.1.fasta	saureus	228	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(24)	yqiL(29)
GCF_000967345.1.fasta	saureus	228	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(24)	yqiL(29)
GCF_000967365.1.fasta	saureus	228	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(24)	yqiL(29)
GCF_000967385.1.fasta	saureus	228	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(24)	yqiL(29)
GCF_000967405.1.fasta	saureus	228	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(24)	yqiL(29)
GCF_000969225.1.fasta	saureus	105	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(28)
GCF_001021875.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001021895.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001027045.1.fasta	saureus	27	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(1)	tpi(22)	yqiL(10)
GCF_001027105.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001045795.2.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001045995.2.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001046095.2.fasta	saureus	923	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(109)
GCF_001183705.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001278745.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_001281145.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_001296985.1.fasta	saureus	80	arcC(1)	aroE(3)	glpF(1)	gmk(14)	pta(11)	tpi(51)	yqiL(10)
GCF_001298325.2.fasta	saureus	9	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(1)	tpi(1)	yqiL(10)
GCF_001307235.1.fasta	saureus	1093	arcC(10)	aroE(53)	glpF(34)	gmk(26)	pta(26)	tpi(32)	yqiL(2)
GCF_001444345.1.fasta	saureus	121	arcC(6)	aroE(5)	glpF(6)	gmk(2)	pta(7)	tpi(14)	yqiL(5)
GCF_001456215.1.fasta	saureus	338	arcC(19)	aroE(23)	glpF(15)	gmk(48)	pta(19)	tpi(20)	yqiL(15)
GCF_001457495.1.fasta	saureus	80	arcC(1)	aroE(3)	glpF(1)	gmk(14)	pta(11)	tpi(51)	yqiL(10)
GCF_001465635.1.fasta	saureus	398	arcC(3)	aroE(35)	glpF(19)	gmk(2)	pta(20)	tpi(26)	yqiL(39)
GCF_001465675.1.fasta	saureus	398	arcC(3)	aroE(35)	glpF(19)	gmk(2)	pta(20)	tpi(26)	yqiL(39)
GCF_001465755.1.fasta	saureus	398	arcC(3)	aroE(35)	glpF(19)	gmk(2)	pta(20)	tpi(26)	yqiL(39)
GCF_001515665.1.fasta	saureus	239	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001515685.1.fasta	saureus	239	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001515705.1.fasta	saureus	239	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001515745.1.fasta	saureus	239	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001515765.1.fasta	saureus	239	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001548295.1.fasta	saureus	464	arcC(3)	aroE(1)	glpF(1)	gmk(1)	pta(29)	tpi(5)	yqiL(3)
GCF_001548415.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_001549655.1.fasta	saureus	72	arcC(1)	aroE(4)	glpF(1)	gmk(8)	pta(4)	tpi(4)	yqiL(3)
GCF_001549675.1.fasta	saureus	72	arcC(1)	aroE(4)	glpF(1)	gmk(8)	pta(4)	tpi(4)	yqiL(3)
GCF_001558795.1.fasta	saureus	-	arcC(~1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_001580495.1.fasta	saureus	72	arcC(1)	aroE(4)	glpF(1)	gmk(8)	pta(4)	tpi(4)	yqiL(3)
GCF_001580515.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001594205.1.fasta	saureus	45	arcC(10)	aroE(14)	glpF(8)	gmk(6)	pta(10)	tpi(3)	yqiL(2)
GCF_001611325.1.fasta	saureus	15	arcC(13)	aroE(13)	glpF(1)	gmk(1)	pta(12)	tpi(11)	yqiL(13)
GCF_001611345.1.fasta	saureus	15	arcC(13)	aroE(13)	glpF(1)	gmk(1)	pta(12)	tpi(11)	yqiL(13)
GCF_001611365.1.fasta	saureus	25	arcC(4)	aroE(1)	glpF(4)	gmk(1)	pta(5)	tpi(5)	yqiL(4)
GCF_001611385.1.fasta	saureus	25	arcC(4)	aroE(1)	glpF(4)	gmk(1)	pta(5)	tpi(5)	yqiL(4)
GCF_001611405.1.fasta	saureus	15	arcC(13)	aroE(13)	glpF(1)	gmk(1)	pta(12)	tpi(11)	yqiL(13)
GCF_001611425.1.fasta	saureus	15	arcC(13)	aroE(13)	glpF(1)	gmk(1)	pta(12)	tpi(11)	yqiL(13)
GCF_001618305.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_001640885.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_001640905.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_001640925.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_001641025.1.fasta	saureus	239	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001656045.1.fasta	saureus	582	arcC(13)	aroE(13)	glpF(1)	gmk(1)	pta(12)	tpi(10)	yqiL(13)
GCF_001656075.1.fasta	saureus	7	arcC(5)	aroE(4)	glpF(1)	gmk(4)	pta(4)	tpi(6)	yqiL(3)
GCF_001717725.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001717975.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001725965.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_001735655.2.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001879545.1.fasta	saureus	1	arcC(1)	aroE(1)	glpF(1)	gmk(1)	pta(1)	tpi(1)	yqiL(1)
GCF_001880265.1.fasta	saureus	-	arcC(19)	aroE(23)	glpF(15)	gmk(2)	pta(19)	tpi(347?)	yqiL(15)
GCF_001887075.1.fasta	saureus	398	arcC(3)	aroE(35)	glpF(19)	gmk(2)	pta(20)	tpi(26)	yqiL(39)
GCF_001900185.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001956755.1.fasta	saureus	433	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(72)
GCF_001956815.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_001975005.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_001975045.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_001986135.1.fasta	saureus	88	arcC(22)	aroE(1)	glpF(14)	gmk(23)	pta(12)	tpi(4)	yqiL(31)
GCF_002000565.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002000585.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002000605.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002000625.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002000645.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002000665.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002000685.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002000705.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002000725.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002000745.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002000765.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002000785.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002000805.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002000825.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002000845.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002000865.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002025125.1.fasta	saureus	398	arcC(3)	aroE(35)	glpF(19)	gmk(2)	pta(20)	tpi(26)	yqiL(39)
GCF_002025145.1.fasta	saureus	464	arcC(3)	aroE(1)	glpF(1)	gmk(1)	pta(29)	tpi(5)	yqiL(3)
GCF_002085525.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002088995.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002089035.1.fasta	saureus	398	arcC(3)	aroE(35)	glpF(19)	gmk(2)	pta(20)	tpi(26)	yqiL(39)
GCF_002089055.1.fasta	saureus	398	arcC(3)	aroE(35)	glpF(19)	gmk(2)	pta(20)	tpi(26)	yqiL(39)
GCF_002089075.1.fasta	saureus	398	arcC(3)	aroE(35)	glpF(19)	gmk(2)	pta(20)	tpi(26)	yqiL(39)
GCF_002089095.1.fasta	saureus	398	arcC(3)	aroE(35)	glpF(19)	gmk(2)	pta(20)	tpi(26)	yqiL(39)
GCF_002089115.1.fasta	saureus	398	arcC(3)	aroE(35)	glpF(19)	gmk(2)	pta(20)	tpi(26)	yqiL(39)
GCF_002097595.1.fasta	saureus	-	arcC(2)	aroE(3)	glpF(457)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002140115.1.fasta	saureus	188	arcC(3)	aroE(1)	glpF(1)	gmk(8)	pta(1)	tpi(1)	yqiL(1)
GCF_002202075.1.fasta	saureus	243	arcC(2)	aroE(2)	glpF(5)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
GCF_002202095.1.fasta	saureus	243	arcC(2)	aroE(2)	glpF(5)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
GCF_002204555.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_002204575.1.fasta	saureus	398	arcC(3)	aroE(35)	glpF(19)	gmk(2)	pta(20)	tpi(26)	yqiL(39)
GCF_002209325.1.fasta	saureus	1	arcC(1)	aroE(1)	glpF(1)	gmk(1)	pta(1)	tpi(1)	yqiL(1)
GCF_002214665.1.fasta	saureus	72	arcC(1)	aroE(4)	glpF(1)	gmk(8)	pta(4)	tpi(4)	yqiL(3)
GCF_002310395.1.fasta	saureus	254	arcC(3)	aroE(32)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002310435.1.fasta	saureus	254	arcC(3)	aroE(32)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002355355.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002356675.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002386245.1.fasta	saureus	-	arcC(3)	aroE(32)	glpF(~350)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002442975.1.fasta	saureus	59	arcC(19)	aroE(23)	glpF(15)	gmk(2)	pta(19)	tpi(20)	yqiL(15)
GCF_002633765.1.fasta	saureus	45	arcC(10)	aroE(14)	glpF(8)	gmk(6)	pta(10)	tpi(3)	yqiL(2)
GCF_002633785.1.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
GCF_002633805.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_002633825.1.fasta	saureus	1	arcC(1)	aroE(1)	glpF(1)	gmk(1)	pta(1)	tpi(1)	yqiL(1)
GCF_002633845.1.fasta	saureus	59	arcC(19)	aroE(23)	glpF(15)	gmk(2)	pta(19)	tpi(20)	yqiL(15)
GCF_002633865.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_002786465.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_002786535.1.fasta	saureus	22	arcC(7)	aroE(6)	glpF(1)	gmk(5)	pta(8)	tpi(8)	yqiL(6)
GCF_002795285.1.fasta	saureus	1	arcC(1)	aroE(1)	glpF(1)	gmk(1)	pta(1)	tpi(1)	yqiL(1)
GCF_002803885.1.fasta	saureus	152	arcC(46)	aroE(75)	glpF(49)	gmk(44)	pta(13)	tpi(68)	yqiL(60)
GCF_002850395.1.fasta	saureus	2454	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(264)	tpi(1)	yqiL(10)
GCF_002850415.1.fasta	saureus	2454	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(264)	tpi(1)	yqiL(10)
GCF_002895385.1.fasta	saureus	239	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_900004855.1.fasta	saureus	152	arcC(46)	aroE(75)	glpF(49)	gmk(44)	pta(13)	tpi(68)	yqiL(60)
GCF_900017775.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_900092595.1.fasta	saureus	254	arcC(3)	aroE(32)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_900096745.1.fasta	saureus	88	arcC(22)	aroE(1)	glpF(14)	gmk(23)	pta(12)	tpi(4)	yqiL(31)
GCF_900129335.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC10035.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
Staphylococcus_aureus_NCTC10344.fasta	saureus	97	arcC(3)	aroE(1)	glpF(1)	gmk(1)	pta(1)	tpi(5)	yqiL(3)
Staphylococcus_aureus_NCTC10345.fasta	saureus	97	arcC(3)	aroE(1)	glpF(1)	gmk(1)	pta(1)	tpi(5)	yqiL(3)
Staphylococcus_aureus_NCTC10442.fasta	saureus	250	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(16)
Staphylococcus_aureus_NCTC10443.fasta	saureus	250	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(16)
Staphylococcus_aureus_NCTC10652.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC10654.fasta	saureus	250	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(16)
Staphylococcus_aureus_NCTC10656.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
Staphylococcus_aureus_NCTC10657.fasta	saureus	-	arcC(3)	aroE(32)	glpF(~350)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC10702.fasta	saureus	3526	arcC(3)	aroE(32)	glpF(460)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC10703.fasta	saureus	3526	arcC(3)	aroE(32)	glpF(460)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC10724.fasta	saureus	247	arcC(3)	aroE(3)	glpF(1)	gmk(12)	pta(4)	tpi(4)	yqiL(16)
Staphylococcus_aureus_NCTC10804.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
Staphylococcus_aureus_NCTC10833.fasta	saureus	254	arcC(3)	aroE(32)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC11150.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
Staphylococcus_aureus_NCTC11561.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
Staphylococcus_aureus_NCTC11963.fasta	saureus	39	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(2)	tpi(2)	yqiL(2)
Staphylococcus_aureus_NCTC11965.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
